id,term,translation,domain
178,crest,Atifi,science
179,crop,Nɔbaeɛ,science
180,crust,Ɛho,science
181,crystal,Ɛboɔ hyɛnhyɛn,science
182,crystallization,Ɛredane boɔ hyɛnhyɛn,science
183,cubic,Kubik,science
184,cubic centimeter,Kubik sɛntimeta,science
185,cure,Ayaresa,science
186,cycle,kyinhyia,science
187,cytoplasm,nkwammoa,science
188,daily,Da biara da,science
189,dam,Su tadeɛ,science
190,data,Data,science
191,data table,Data pono,science
192,daylight,Awiabrɛ han,science
193,decay,Aprɔ,science
194,decrease,Ɛso ate,science
195,defend,Banbɔ,science
196,deficient,Ɛtɔsini,science
197,define,Kyerɛ aseɛ,science
198,definite,Ɛtoɔtwa,science
199,delta,Delta,science
200,density,Emu duro,science
201,dependent variable,Deɛ ɔdan obi,science
202,deposition,Y’atu w’adeɛ so,science
203,descend,Sane,science
204,descendants,Asefoɔ,science
205,describe,Kyeremu,science
206,desert,Ɛsrɛso,science
207,design,Sɛdeɛ yɛsi anwene,science
208,determine,Kyerɛ,science
209,develop,Yɛ,science
210,development,Adeyɛ,science
211,development,nkɔso,science
212,diagram,Nfonin,science
213,difference,Nsonsoneɛ,science
214,direct,Kyerɛkwan,science
215,directions,Akwankyerɛ,science
216,directly,Pɔtee,science
217,discuss,Di ho nkɔmmɔ,science
218,disperse,Ahyeta,science
219,disperse,apete,science
220,dissolve,Ahono,science
221,distance,Kwan bi tenten,science
222,distinctive,Ɛdanso,science
223,distribute,Kyekyɛ,science
224,disturb,Teetee,science
225,diversity,Asɔɔtoo,science
226,diversity,ahorow,science
227,DNA,DNA,science
228,dominant,Nhyɛsodeɛ,science
229,draw,Dwi,science
230,dump,Totwene,science
231,earth,Ewiase,science
232,earth,asase,science
233,earthquake,Asaase wosoɔ,science
234,earthworm,Sonsono,science
235,echo,Nnyegyeɛ,science
236,eclipse,Bosome akye awia,science
237,effect,Nsunsuansoɔ,science
238,efficient,Ɛyɛ n’adwuma yie,science
239,egg,Kosua,science
240,electric current,Nyinam tumi,science
241,electric current,anyinam ahoɔden,science
242,electrical,Ɛfa nyinam ho,science
243,electrical circuits,Nyinam ahoɔden ntwaho,science
244,electricity,Nyinam ahoɔden,science
245,electromagnet,Elɛktromagnɛte,science
246,electromagnetic spectrum,Elɛktromagnɛte akwaban,science
247,electromagnetic waves,Elɛktromagnɛte ahoɔden amunimuni,science
248,electromagnetism,Ɛfa Elɛktromagnɛte ho,science
249,electron,Elɛktron,science
250,elements,Abɔdeɛ mu nneɛma,science
251,elevation,Mpegya,science
252,elevation,ma so,science
253,emit,Epu,science
254,endothermic,Emu bɔhyew,science
255,energy,Tumi,science
256,energy,ahoɔden,science
257,energy flow,Ahoɔden nsaneɛ,science
258,energy pyramid,Ahoɔden piramede,science
259,energy resources,Ahoɔden ho nnepa,science
260,ensure,Hwɛ sɛ,science
261,environment,Mmɔntenso,science
262,environment,mpɔtam,science
263,Environmental,Ɛfa mmɔntenso ho,science
264,Environmental,ɛfa mpɔtam ho,science
265,environmental changes,Mmɔntenso nsesaeɛ,science
266,equal,Ɛyɛ pɛ,science
267,equation,Afanu  pɛrepɛreyɔ,science
268,equator,Asaase mfinfin,science
269,equilibrium,Pɛyɛ,science
270,erosion,Susuan,science
271,error,Mfomsoɔ,science
272,esophagus,Honhon,science
273,esophagus,menem,science
274,establish,Te,science
275,establish,si,science
276,establish,yɛ,science
277,establish,kyerɛ,science
278,estimate,Fa w’anibu,science
279,estimation,Deɛ yɛde aniabu,science
280,evaluate,Susu,science
281,evaporate,Dane ntutuo,science
282,evaporation,Ɛdane ntutuo,science
283,evidence,Adanseɛ,science
284,evolution,adaanandi,science
285,example,Mfatoho,science
286,example,nhwɛso,science
287,exchange,Edi nsesa,science
288,exothermic,Ɛho hyew,science
289,expand,Bae,science
290,expand,bue mu,science
291,experiment,Nhwehwɛmu,science
292,experiment,sɔ biribi hwɛ,science
293,explain,Kyerɛaseɛ,science
294,explain,kyerɛkyerɛ mu,science
295,explanation,Nkyerɛaseɛ,science
296,explanation,Nkyerɛkyerɛ mu,science
297,express,Dan adi,science
298,express,Da no adi,science
299,external,Abɔnten,science
300,extinct,Aseɛ ahye,science
301,fact,Nokwasɛm,science
302,factor,Deɛ nti,science
303,Fahrenheit (°F),Fahrenheit,science
304,Fahrenheit (°F),°F,science
305,fat,Sradeɛ,science
306,fault,Atɔkyew,science
307,fault,mfomso,science
308,feature,Su,science
309,features,Su ahodoɔ,science
310,female sex cell,mmea bɔbeasu nkwammoa,science
311,fertilizer,Fɛtilaisa,science
312,fertilizer,ɔyɛ asase yiye,science
313,fiber,Nhomanhoma,science
314,fish,Apataa,science
315,fish,nam,science
316,flood,Nsuyiri,science
317,flower,Nhweren,science
318,flower,nhwiren,science
319,fluid,Nsuonsuo,science
320,folded,Abobɔ,science
321,food,Aduane,science
322,food chain,Aduane nkɔnsɔnkɔnsɔn,science
323,food web,Aduane ntentan,science
324,force,Ahoɔden,science
325,form,Nwene,science
326,formation,Adenwene,science
327,former,Deɛ edi anim,science
328,formulate,Nwene,science
329,freezing,Ɛredane nsuboɔ,science
330,friction,Twitwiri,science
331,front,Anim,science
332,fruit,Aduaba,science
333,filter,Nsɔnesoɔ,science
334,function,Adeyɔ,science
335,function of living things,Deɛ Abɔdeɛ yɛ,science
336,fungi,Fungi,science
337,fungi,afifide,science
338,galaxy,Wiemu nsroma ahodoɔ,science
339,galaxy,nsoromakuw,science
340,garbage,Nwura,science
341,gas,Mframagya,science
342,gas giants,Mframa mu okunin,science
343,gene,Gene,science
344,generation,Abɔdeɛ ekuo,science
345,generation,awo ntoatoaso,science
346,genetic material,Genetike ho adeɛ,science
347,genetically,Ɛfa genetike ho,science
348,genetic variation,Genetike mu adaneadane,science
349,germination,Ade fefɛ,science
350,glacier,Asukɔkyea a akantoa,science
351,global,Ewiase,science
352,global climate,Ewiase wiem nsakraeɛ,science
353,global warming,Ewiase hyewbɔ,science
354,gram (g),Gram,science
355,gram (g),g,science
356,graph,Nkonta mu nfonin,science
357,graphic,Ɛdan adi,science
358,green plant,Mfueɛ,science
359,green plant,afifide,science
360,groundwater,Asaase ase nsuo,science
361,group,Ekuo,science
362,grow,Nyini,science
363,growth,Onyini,science
364,habit,Suban,science
365,hardness,Ne denden,science
366,hardness,ne denyɛ,science
367,harmful,Etumi pira,science
368,hazardous,Etumi di awu,science
369,healthy habit,Suban papa,science
370,hearth,Efie,science
371,hearth,muka,science
372,hearth,fononoo,science
373,hearth muscle,Akoma ho ntinintini,science
374,heat,Ɔhyew,science
375,hibernation,Bɔ woho adwaa,science
376,host,Nea ɔgye hohoɔ,science
377,human,Nnipa,science
378,human cell,Nnipa mu akwaawa,science
379,humid,Nsuo ɛwɔ wiem,science
380,hurricane,Ɛpo mu mfamahyew,science
381,hypothesis,Nimdeɛ mu bɔtrimuka,science
382,identical,Edi nsɛ,science
383,identification,Ahyɛnsode,science
384,identify,Hyɛ ne nso,science
385,illuminate,Ma ɛhan,science
386,illuminate,hyerɛn,science
387,illustrate,Yi kyerɛ,science
388,illustrate,yɛ nhwɛso,science
389,inclined plane,Ntweaseɛ a akyea,science
390,increase,Ɛkɔ soro,science
391,independent,Odi neho so,science
392,indicate,Kyerɛ,science
393,indirect,Ɛnnyɛ pɔtee,science
394,individual,Ankorankorɛ,science
395,infection,Nsaneyareɛ,science
396,infectious disease,Nsaneyareɛ,science
397,information,Nsɛm,science
398,inherit,Bedi adeɛ,science
399,inheritance,Adedie,science
400,instrument,Anwenade,science
401,interact,Di nsawɔsoɔ,science
402,interact,di nkitaho,science
403,interaction,Nsawɔsodie,science
404,interaction,nkitahodi,science
405,interior,Emu,science
406,internal,Emu,science
407,interpret,Kyerɛ aseɛ,science
408,inversion,Edi adane,science
409,investigation,Nhwehwɛmu,science
410,ion,Ion,science
411,ionic bond,Ionik mfamho,science
412,iron (Fe),Dadeɛ iron,science
413,iron (Fe),Fe,science
414,jellyfish,Nsuomu aboa,science
415,joint,N’apɔso,science
416,kilogram (kg),Kilogram,science
417,kilogram (kg),kg,science
418,kiloliter (kl),Kilolita,science
419,kiloliter (kl),kl,science
420,kilometer (km),Kilometa,science
421,kinetic energy,Kinɛtik ahoɔden,science
422,kingdom,Ahinie,science
423,kingdom,ahenni,science
424,knowledge,Nimdeɛ,science
425,label,Ahyɛnsodeɛ,science
426,landslide,Asaase dwiri,science
427,large intestine,Nsono akɛseɛ,science
428,larva,Osa,science
429,laser,Lesa kaneɛ,science
430,layer,Ntasoɔ,science
431,layer,nkataso,science
432,leaf,Ahahan,science
433,learned,Y’asua,science
434,learned adaptation,Abrabɔ a y’asua,science
435,leaves,Nhaban,science
436,lever,Daban,science
437,life cycle,nkwa kyinhyiadi,science
438,life span,Abɔdeɛ nkwanna,science
439,lift,Kukru,science
440,lift,ma so,science
441,light,Kanea,science
442,light,hann,science
443,light-years,Kanea mfeɛso,science
444,lines of force,Ahoɔden nsensaneɛ,science
445,link,Atoatoa,science
446,liquid,Adeɛ ɛyɛ nsuonsuo,science
447,list,Tweɛtwerɛ,science
448,liter (L),Lita,science
449,liter (L),L,science
450,liver,Brɛboɔ,science
451,living things,Abɔdeɛ a ɛtease,science
452,Location,Faako,science
453,Location,beae,science
454,Locomotion,Nanteɛ,science
455,Loudness,Anoden,science
456,Lungs,Aherawa,science
457,Lungs,ahurututu,science
458,Luster,Ɛhan,science
459,Machine,Afidie,science
460,Magnet,Stim,science
461,Magnet,Magnɛt,science
462,Magnetism,Ɛfa stim ho,science
463,Maintain,Kora,science
464,Maintenance,Adekora,science
465,Major,Titiriw,science
466,Manage,Toto,science
467,mantle,Nduraho,science
468,map,Map,science
469,map,asase mfonini,science
470,mass,Mass,science
471,material,Adeɛ,science
472,materials,Nneɛma,science
473,mathematics,Nkonta,science
474,measure,Susu,science
475,measurement,Nsusueɛ,science
476,mechanical energy,Mfidie mu ahoɔden,science
477,medium,Deɛ adeɛ namso,science
478,meiosis,Meiosis,science
479,melting,Ɛrenane,science
480,metal,Dadeɛ,science
481,metallic bond,Dadeɛ mu mfamho,science
482,meter (m),Basafa,science
483,methane,Metane,science
484,method,Nhyehyɛdeɛ,science
485,method,sɛnea wɔyɛ biribi,science
486,migration,Akwantuo,science
487,Milky Way,nsoromakuw a yehu,science
488,milligram (mg),milligram,science
489,milligram (mg),mg,science
490,milliliter (ml),millilita,science
491,milliliter (ml),ml,science
492,millimeter (mm),millimeta,science
493,millimeter (mm),mm,science
494,mineral,Asaase mu agudeɛ,science
495,mitochondria,Mitokondria,science
496,mitosis,Sɛll nkyekyɛmu,science
497,moisture,Nsuo,science
498,molecule,Molekule,science
499,mollusk,Ɛnwa abusua,science
500,monthly,Bosome bosome,science
501,Monera,Monera,science
502,monoculture,Amamerɛ krɔ,science
503,monoculture,afifide koro,science
504,moon,Bosome,science
505,moon,ɔsram,science
506,motion,Ahokeka,science
507,motor,Moto,science
508,mountain,Bepɔ,science
509,mouth,Anom,science
510,movement,Anamɔntutuo,science
511,movement of plates,Plɛte anamɔntutuo,science
512,mucus,Amaman,science
513,muscle,Ntini,science
514,muscle tissue,Ntini akwaa,science
515,muscular system,Ntini ho nhyehyɛeɛ,science
516,negative,Etwam,science
517,nervous system,Aboa adwene,science
518,net force,Tumi no nsesa,science
519,neuron,Adwenemu fa,science
520,neutral,Onni afa biara,science
521,neutron,Neutro,science
522,Newton,Newton,science
523,niche,Tenebea,science
524,niche,tenabea,science
525,nimbus,Ɛhan atwa kanko,science
526,nitrogen,Nitrogen,science
527,nonliving things,Abɔdeɛ a ɛntease,science
528,nonmetal,Deɛ ɛnnyɛ dadeɛ,science
529,nose,Ɛhwene,science
530,nucleus,Nukleus,science
531,nutrient,Aduane mu nnuro,science
532,object,Adeɛ,science
533,objective,Nokwafoɔ,science
534,obtained,Nya,science
535,occur,Esi,science
536,ocean,Ɛpo baatan,science
537,ocean,asu bun,science
538,odor,Pampan,science
539,offspring,Deɛ y’awoɔ,science
540,offspring,aseni,science
541,ooze,Epu frimu,science
542,opinion,Adwenkyerɛ,science
543,orbit,Kanko,science
544,order,Ahyɛdeɛ,science
545,organ,Nipadua mu akwaa,science
546,organelle,Nipadua mu akwaawa,science
547,organism,Abɔdeɛ a ɛtease,science
548,organize,Toto,science
549,organize,hyehyɛ,science
550,original,Ne tebea ankasa,science
551,ovary,Aboa,science
552,ovary,nnipa nkosua,science
553,overabundance,Aboroso pii,science
554,overcome,Di so,science
555,overpopulation,Emufoɔ dɔɔso dodo,science
556,oxygen,Ɔksegen,science
557,oxygen,mframa pa,science
558,ozone,Mframagya ozone,science
559,parallel circuit,Ntwaho a enhyia,science
560,parent cell,Awofoɔ no sɛll,science
561,particle,Adeɛ,science
562,pattern,Anweneɛ,science
563,pedigree chart,Dibea ho nfonin,science
564,perceive,Susu sɛ,science
565,"percent, percentage",Ɔha mu nkyemu,science
566,period,Berɛ bi,science
567,petroleum,Famngo,science
568,phases,Ɛfa,science
569,phenomena,Anwanwadeɛ,science
570,phosphorus,Phosphorus,science
571,physical,Deɛ anihunu,science
572,physical change,Deɛ anihunu nsesae,science
573,picture,Nfonin,science
574,pie,Atwa kanko,science
575,pitch,Ɛnee nnyegyeɛ,science
576,planet,Kyinsroma,science
577,planet,okyinsoroma,science
578,plant,Mfueɛ,science
579,plant,afifide,science
580,Plantae,Mfueɛ kubaatan,science
581,plate,Plɛte,science
582,poison,Awuduro,science
583,pollen,Polen,science
584,pollution,Efiyɔ,science
585,position,Gyinabea,science
586,positive,Ɛyɛ papa,science
587,precipitation,Nsutɔ,science
588,predator,Deɛ okum,science
589,presence,Sɛ ɛwɔ hɔ,science
590,presence,mprempren,science
591,preserve,Kora so,science
592,pressure,Nhyɛsoɔ,science
593,previous,Dada deɛ,science
594,previous,nea atwa mu,science
595,probable,Deɛ ebetumi aba,science
596,probable,ebia,science
597,produce,yɛ,science
598,producer,nea ɔyɔeɛ,science
599,prokaryotic,Prokaryotik,science
600,property,Agyapadeɛ,science
601,properties,Yɛbea ahodoɔ,science
602,protect,Bɔ ho ban,science
603,protein,Aduane duro proten,science
604,Protista,Protista,science
605,proton,Proton,science
606,provide,Fama,science
607,pulley,Ntwahodeɛ,science
608,Punnett square,Punnet adaka,science
609,pupa,Osa,science
610,purpose,Botae,science
611,pushes and pulls,Apiapia ne atwetwe,science
612,radiation,Radiehyɛn,science
613,radioactive,Etumi pu rediahyɛn,science
614,radioisotope,radioisotope,science
615,rarefaction,Sɛso a akyea,science
616,rate,Anosom,science
617,ray,Ɛkan,science
618,react,Ma anoyie,science
619,reactant,Nea ɛma muaeɛ,science
620,rearrange,Hyehyɛ bio,science
621,reason,Nyinasoɔ,science
622,reason,atirmpɔw,science
623,receive,gye,science
624,recessive,Y’ahyɛneso,science
625,recognize,Hyɛ ne nso,science
626,record,Kye to hɔ,science
627,record,kyerɛw to hɔ,science
628,rectum,Trumuu,science
629,recycle,Fadi dwuma bio,science
630,reduce,Teso,science
631,refer,Dane ma,science
632,reflect,Twa wo sɛso,science
633,reflex,Ahokeka,science
634,regulation,Hyɛ ho mmara,science
635,relationship,Twaka,science
636,release,Gyae mu,science
637,relevant,Mfasoɔ wɔ so,science
638,remain the same,Aka hɔ saa,science
639,remains,Nkaseɛ,science
640,remains,nea aka,science
641,repair,Siesie,science
642,represent,Si ananmu,science
643,reproduce,Wo,science
644,reproduction,Ɛfa awoɔ ho,science
645,reptile,mmoa a wɔwea,science
646,required,Ɛyɛ nhyɛ,science
647,required,ahwehwɛde,science
648,required,ahiade,science
649,resist,Si kwan,science
650,resist,ko tia,science
651,resistant to,Adeɛ ntumi no,science
652,resource,Nnepa,science
653,respiration,Ahomee,science
654,respiratory system,Ahomee ho nhyehyɛeɛ,science
655,respond,Ma muaeɛ,science
656,respond,yi ano,science
657,response,Muaeɛ,science
658,response,ano yi,science
659,responsible,Deɛ ntia,science
660,responsible,asɛde,science
661,restore,Hyɛ anan mu,science
662,result,Deɛ ɛkɔ wie,science
663,reverse,Akyirikɔ,science
664,revolve,Etwa fa ho,science
665,rock,Botan,science
666,rock cycle,Botan bra ntwaho,science
667,role,Dwumadie,science
668,root,Nhini,science
669,rotate,Etwa ne ho,science
670,rotation,Ntwaho,science
671,runoff,Nsusuan,science
672,rust,Wenaakyene,science
673,rust,nkanare,science
674,saliva,Ntɛsuo,science
675,salivate,Wore twa ntɛsuo,science
676,samples,Mfatoho,science
677,samples,nhwɛsode ahorow,science
678,scale,Nsɛneɛ,science
679,scale,nsɛnia,science
680,scarce,Ɛho yɛden,science
681,scarce,ɛho yɛ na,science
682,science,Abɔdeɛ mu nyansapɛ,science
683,science,Abɔde mu nyansahu,science
684,scrape,Wrɛwrɛ,science
685,screw,Skruu,science
686,sea level,Ɛpo gyinabre,science
687,season,Mmerɛ,science
688,secondary,Akyiriadeɛ,science
689,secondary,ntoaso,science
690,sediment,Adeɛ ada aseɛ,science
691,seed,Aduaba,science
692,seedling,Dua a afefɛ,science
693,seep,Enwunu,science
694,select,Yiyi,science
695,select,paw,science
696,sense,Atenka,science
697,sequencing,Ɛrehyehyɛ,science
698,settle,Ada aseɛ,science
699,sewage,Nsu fi,science
700,shape,Abosuo,science
701,shield volcano,Bepɔ mu nsugya,science
702,shiver,Awosoɔ,science
703,shiver,ahopopo,science
704,significant,Ehia,science
705,similarity,Edi nsɛ,science
706,siren,Alam,science
707,situation,Tebea,science
708,size,Adeɛ bi kɛseɛ,science
709,skeletal muscle,Nnompe ho ntini,science
710,skeletal system,Nnompe nhyehyɛeɛ,science
711,shy,Fɛreɛ,science
712,small intestine,Nson ketewa,science
713,smog,Nwusie,science
714,soil,Anwea,science
715,soil,dɔte,science
716,soil texture,Sɛdeɛ anwea,science
717,solar eclipse,Nsroma kye awia,science
718,solar system,Owia nhyehyɛdeɛ,science
719,solar system,okyin nsoroma,science
720,solid,Ɛyɛ den,science
721,solidification,Ɛreyɛ den,science
722,sound,Ɛnee nyegyeɛ,science
723,sound,nnyigyei,science
724,source,Ne farebae,science
725,source,fibea,science
726,space,Ewiemu,science
727,space,ahun mu,science
728,space,ahummu,science
729,specialize,Kwadaremu,science
730,specialize,ho akokwaw mu,science
731,specific,Pɔtee,science
732,specimens,Mfatoho,science
733,specimens,nsusuwso,science
734,speed,Mmirika,science
735,Spill,Pigu,science
736,Spill,puw gu,science
737,spinal cord,Akyi brɛmo,science
738,Sponge,Sapɔ,science
739,Spore,Mfrofrowa,science
740,Spring,Atwetan,science
741,spring scale,atwetan nsɛneɛ,science
742,Sprout,Afefɛ,science
743,Squint,Nyinya w’anim,science
744,Stable,Enhinhim,science
745,Stages,Gyinabrɛ ahodoɔ,science
746,Star,Nsroma,science
747,Starch,Stakye,science
748,State,Tebea,science
749,Stem,Dua mfinfnin,science
750,stimulus,Nkenyan hyɛ,science
751,stomach,Yafunu,science
752,Strain,Ahokyerɛ,science
753,Strategy,Ntotoeɛ,science
754,Strato,Strato,science
755,structure,Nhyehyɛdeɛ,science
756,sublimation,Adeboɔ dane mframa,science
757,substance,Adeɛ,science
758,Sugar,Asikyire,science
759,sulfuric acid,Sulfurik  asid,science
760,summarize,Bɔ ne tɔfa,science
761,summarize,bɔ no mua,science
762,Sun,Owia,science
763,supernova,Supanova,science
764,supernova,nsoroma a etu,science
765,Support,Mmoa,science
766,Surface,Anii,science
767,Survey,Mfeefeemu,science
768,Swamp,Afrɔ mu,science
769,Sweat,Mfifire,science
770,Switch,Sesa mu,science
771,System,Nhyehyɛeɛ,science
772,Table,Ɛpono,science
773,table salt,Ɛnkyene a yɛdi,science
774,Tadpole,Konkontibaa,science
775,technology,Abɛɛfo mfidie,science
776,test,Nsɔhwɛ,science
777,theory,Nimdeɛ mu botrimuka,science
778,thunderstorm,Apranaa dwidwam,science
779,tide,Asrɔkye,science
780,tilt,Akyea,science
781,tilted,Ɛkyeaɛ,science
782,time,Berɛ,science
783,tissue,Abɔdeɛ mu adeɛ,science
784,tool,Anwenade,science
785,tornado,Ohum,science
786,tornado,ahum,science
787,trait,Su,science
788,transport,Akɔneaba die,science
789,transport system,Akɔneabadie nhyehyɛeɛ,science
790,transverse,mmeamu,science
791,transverse,ntwamu,science
792,trench,Amena,science
793,trial,Nsɔhwɛ,science
794,trough,Adididaka,science
795,turbine,Drobɛn kɛseɛ,science
796,type,Asɔɔto,science
797,type,ahorow yɛ,science
798,undergo metamorphosis,Ɛfa nsesaeɛ mu,science
799,unequal,Ɛnnyɛ pɛ,science
800,unique,Ɛda nso,science
801,universe,Ewiase,science
802,universe,amansan,science
803,unstable,Ennyina yie,science
804,valley,bon,science
805,vapor,Ntutuo,science
806,variable,Nea etumi sesa,science
807,variation,Emu nsesa,science
808,variety,Ahodoɔ,science
809,vascular system,Ntinintini nhyehyɛeɛ,science
810,vegetable,Atosodeɛ,science
811,vehicle,Kaa,science
812,velocity,Mmirika,science
813,vertebrate,Ɛwɔ akyi dompe,science
814,vibrate,ɛwosow,science
815,visible,Ani tumi hunu,science
816,vitamin,Nuane nnuro,science
817,volcano,bepɔ a apae,science
818,volume,Emu kɛseɛ,science
819,warm,Dedɛɛdedɛɛ,science
820,warm,boturobodwo,science
821,water,Nsuo,science
822,water cycle,Nsuo ntwaho,science
823,water cycle,nsu kyinhyiadi,science
824,water vapor,Ntutuo,science
825,wavelength,Mframa teneten,science
826,weather,Ewiem nhyehyɛeɛ,science
827,weathering,Aboɔ mu nwenweɛ,science
828,weight,Emu duro,science
829,wind,Mframa,science
830,wind,ahum,science
831,wise,Nyansa,science
832,work,Adwuma,science
833,wrinkle,Atwintwam,science
834,zone,Bea,science
835,zygote,Kosua a ahane,science
836,abattoir,aboa kum fie,agric
837,aboiteau,nsu ban ɔkwan,agric
838,acaricide,nkramamoadi kum aduro,agric
839,acreage,asase dodoɔ,agric
840,acre-foot,eka-nan susudua,agric
841,adjuvant,nkabom aduro,agric
842,aerial seeding,wim aba nnua,agric
843,aeroponics,wim mfudeɛ,agric
